,param_1,date,label
649,110.81,1617667200.0,1
650,84.08,1617753600.0,1
651,84.89,1617840000.0,1
652,91.54,1618012800.0,1
653,98.94,1618099200.0,1
654,126.7,1618185600.0,1
655,99.82,1618272000.0,1
656,95.83,1618358400.0,1
657,116.93,1618444800.0,1
658,94.25,1618531200.0,1
659,82.29,1618617600.0,1
660,71.48,1618704000.0,1
661,100.71,1618790400.0,1
662,97.77,1618876800.0,1
663,98.73,1619049600.0,1
664,51.88,1619136000.0,1
665,84.13,1619222400.0,1
666,106.27,1619308800.0,1
667,93.91,1619481600.0,1
668,95.28,1619568000.0,1
669,96.11,1619654400.0,1
670,91.75,1619740800.0,1
671,89.24,1619827200.0,1
672,62.11,1619913600.0,1
673,0.01,1621382400.0,-1
674,0.19,1621900800.0,-1
675,143.93,1622937600.0,-1
676,88.16,1623628800.0,1
677,47.46,1626048000.0,1
678,34.88,1635379200.0,1
679,29.86,1635984000.0,1
680,34.89,1636588800.0,1
681,37.68,1638144000.0,1
682,37.14,1638489600.0,1
683,33.35,1638748800.0,1
684,38.03,1639440000.0,1
685,180.3,1623110400.0,-1
686,149.44,1623196800.0,-1
687,113.12,1623283200.0,1
688,92.41,1623369600.0,1
689,93.13,1623456000.0,1
690,90.42,1623542400.0,1
691,98.69,1623715200.0,1
692,92.13,1623801600.0,1
693,80.59,1623888000.0,1
694,79.18,1623974400.0,1
695,77.32,1624060800.0,1
696,74.26,1624147200.0,1
697,66.79,1624233600.0,1
698,57.77,1624320000.0,1
699,68.31,1624406400.0,1
700,68.91,1624492800.0,1
701,70.06,1624579200.0,1
702,62.37,1624665600.0,1
703,61.6,1624752000.0,1
704,68.37,1624838400.0,1
705,63.83,1624924800.0,1
706,54.38,1625011200.0,1
707,54.19,1625097600.0,1
708,62.74,1625184000.0,1
709,62.39,1625270400.0,1
710,65.99,1625356800.0,1
711,61.67,1625443200.0,1
712,63.04,1625529600.0,1
713,64.08,1625616000.0,1
714,73.47,1625702400.0,1
715,74.66,1625788800.0,1
716,56.57,1625875200.0,1
717,59.4,1625961600.0,1
718,23.87,1626134400.0,-1
719,25.15,1628985600.0,-1
720,53.65,1629072000.0,1
721,58.7,1629158400.0,1
722,48.41,1629244800.0,1
723,18.14,1629331200.0,-1
724,51.48,1629417600.0,1
725,51.54,1629504000.0,1
726,56.39,1629590400.0,1
727,50.42,1629676800.0,1
728,49.36,1629763200.0,1
729,49.57,1629849600.0,1
730,46.87,1629936000.0,1
731,45.08,1630022400.0,1
732,51.26,1630108800.0,1
733,48.78,1630195200.0,1
734,44.41,1630281600.0,1
735,40.16,1630368000.0,1
736,46.54,1630454400.0,1
737,47.0,1630540800.0,1
738,43.37,1630627200.0,1
739,45.8,1630713600.0,1
740,37.82,1630800000.0,1
741,31.93,1630886400.0,1
742,35.09,1630972800.0,1
743,42.82,1631059200.0,1
744,44.44,1631145600.0,1
745,38.91,1631232000.0,1
746,38.0,1631318400.0,1
747,38.12,1631404800.0,1
748,37.87,1631491200.0,1
749,38.01,1631577600.0,1
750,38.47,1631664000.0,1
751,37.86,1631750400.0,1
752,38.18,1631836800.0,1
753,34.9,1631923200.0,1
754,13.15,1632009600.0,-1
755,19.03,1634083200.0,-1
756,36.98,1634169600.0,1
757,38.81,1634256000.0,1
758,38.27,1634342400.0,1
759,37.4,1634428800.0,1
760,38.2,1634515200.0,1
761,38.15,1634601600.0,1
762,38.98,1634688000.0,1
763,39.5,1634774400.0,1
764,39.49,1634860800.0,1
765,39.06,1634947200.0,1
766,38.85,1635033600.0,1
767,40.1,1635120000.0,1
768,40.3,1635206400.0,1
769,36.3,1635292800.0,1
770,31.55,1635465600.0,1
771,32.37,1635552000.0,1
772,33.91,1635638400.0,1
773,35.97,1635724800.0,1
774,33.89,1635811200.0,1
775,30.35,1635897600.0,1
776,30.17,1636070400.0,1
777,35.74,1636156800.0,1
778,34.06,1636243200.0,1
779,35.15,1636329600.0,1
780,38.85,1636416000.0,1
781,36.63,1636502400.0,1
782,29.07,1636675200.0,1
783,41.43,1636761600.0,1
784,38.18,1636848000.0,1
785,38.83,1636934400.0,1
786,38.42,1637020800.0,1
787,30.47,1637107200.0,1
788,32.73,1637193600.0,1
789,30.42,1637280000.0,1
790,30.34,1637366400.0,1
791,30.24,1637452800.0,1
792,28.73,1637539200.0,1
793,27.6,1637625600.0,1
794,32.2,1637712000.0,1
795,38.37,1637798400.0,1
796,39.11,1637884800.0,1
797,35.68,1637971200.0,1
798,33.72,1638057600.0,1
799,37.85,1638230400.0,1
800,38.05,1638316800.0,1
801,41.48,1638403200.0,1
802,37.45,1638576000.0,1
803,33.89,1638662400.0,1
804,37.19,1638835200.0,1
805,39.16,1638921600.0,1
806,36.29,1639008000.0,1
807,37.17,1639094400.0,1
808,37.05,1639180800.0,1
809,35.46,1639267200.0,1
810,34.97,1639353600.0,1
811,36.47,1640217600.0,1
812,35.68,1640736000.0,1
813,34.0,1641945600.0,1
814,38.12,1642032000.0,1
815,36.23,1642723200.0,1
816,37.79,1642809600.0,1
817,39.84,1643587200.0,1
818,34.74,1645228800.0,1
819,34.22,1645315200.0,1
820,34.92,1645574400.0,1
821,34.98,1645833600.0,1
822,35.96,1646006400.0,1
823,34.36,1646611200.0,1
824,34.08,1646784000.0,1
825,34.79,1647129600.0,1
826,34.19,1647475200.0,1
827,32.75,1648166400.0,1
828,34.03,1649548800.0,1
829,32.4,1649980800.0,1
830,32.86,1650067200.0,1
831,29.82,1650844800.0,1
832,29.9,1651536000.0,1
833,29.45,1651881600.0,1
834,31.22,1652140800.0,1
835,31.95,1652313600.0,1
836,35.37,1653004800.0,1
837,43.43,1639526400.0,1
838,34.51,1639612800.0,1
839,37.35,1639699200.0,1
840,34.9,1639785600.0,1
841,35.8,1639872000.0,1
842,38.97,1639958400.0,1
843,39.0,1640044800.0,1
844,35.72,1640131200.0,1
845,36.84,1640304000.0,1
846,29.63,1640390400.0,1
847,33.32,1640476800.0,1
848,36.06,1640563200.0,1
849,35.72,1640649600.0,1
850,37.73,1640822400.0,1
851,36.7,1640908800.0,1
852,34.12,1640995200.0,1
853,35.55,1641081600.0,1
854,39.56,1641168000.0,1
855,36.56,1641254400.0,1
856,37.86,1641340800.0,1
857,38.29,1641427200.0,1
858,41.65,1641513600.0,1
859,38.92,1641600000.0,1
860,35.77,1641686400.0,1
861,38.37,1641772800.0,1
862,34.42,1641859200.0,1
863,36.72,1642118400.0,1
864,36.33,1642204800.0,1
865,37.24,1642291200.0,1
866,34.79,1642377600.0,1
867,36.05,1642896000.0,1
868,35.86,1642982400.0,1
869,35.99,1643068800.0,1
870,36.74,1643155200.0,1
871,36.2,1643241600.0,1
872,36.66,1643328000.0,1
873,38.85,1643414400.0,1
874,38.97,1643500800.0,1
875,42.61,1643673600.0,1
876,41.86,1643760000.0,1
877,39.61,1643846400.0,1
878,37.39,1643932800.0,1
879,37.84,1644019200.0,1
880,37.78,1644105600.0,1
881,36.52,1644192000.0,1
882,36.41,1644278400.0,1
883,40.91,1644364800.0,1
884,39.34,1644451200.0,1
885,40.92,1644537600.0,1
886,38.83,1644624000.0,1
887,36.42,1644710400.0,1
888,40.47,1644796800.0,1
889,39.85,1644883200.0,1
890,32.35,1644969600.0,1
891,30.75,1645056000.0,1
892,35.02,1645142400.0,1
893,34.65,1645401600.0,1
894,34.31,1645488000.0,1
895,36.17,1645660800.0,1
896,34.42,1645747200.0,1
897,36.83,1645920000.0,1
898,37.26,1646092800.0,1
899,36.02,1646179200.0,1
900,35.5,1646265600.0,1
901,34.68,1646352000.0,1
902,34.91,1646438400.0,1
903,34.52,1646524800.0,1
904,34.02,1646697600.0,1
905,35.06,1646870400.0,1
906,38.15,1646956800.0,1
907,34.95,1647043200.0,1
908,34.65,1647216000.0,1
909,34.5,1647302400.0,1
910,34.8,1647388800.0,1
911,34.24,1647561600.0,1
912,34.52,1647648000.0,1
913,34.07,1647734400.0,1
914,33.22,1647820800.0,1
915,33.66,1647907200.0,1
916,33.45,1647993600.0,1
917,30.86,1648080000.0,1
918,31.04,1648252800.0,1
919,30.31,1648339200.0,1
920,32.04,1648425600.0,1
921,31.78,1648512000.0,1
922,33.0,1648598400.0,1
923,30.85,1648684800.0,1
924,30.69,1648771200.0,1
925,30.85,1648857600.0,1
926,31.8,1648944000.0,1
927,31.46,1649030400.0,1
928,31.55,1649116800.0,1
929,30.32,1649203200.0,1
930,31.07,1649289600.0,1
931,32.28,1649376000.0,1
932,32.17,1649462400.0,1
933,32.73,1649635200.0,1
934,32.91,1649721600.0,1
935,32.28,1649808000.0,1
936,32.05,1649894400.0,1
937,31.35,1650153600.0,1
938,31.7,1650240000.0,1
939,32.2,1650326400.0,1
940,19.47,1650412800.0,1
941,13.56,1650499200.0,-1
942,25.91,1650585600.0,1
943,24.62,1650672000.0,1
944,27.53,1650758400.0,1
945,31.05,1650931200.0,1
946,29.76,1651017600.0,1
947,25.96,1651104000.0,1
948,25.56,1651190400.0,1
949,28.69,1651276800.0,1
950,25.67,1651363200.0,1
951,27.11,1651449600.0,1
952,30.88,1651622400.0,1
953,31.76,1651708800.0,1
954,27.81,1651795200.0,1
955,31.31,1651968000.0,1
956,29.98,1652054400.0,1
957,28.83,1652227200.0,1
958,26.65,1652400000.0,1
959,33.04,1652486400.0,1
960,32.0,1652572800.0,1
961,34.0,1652659200.0,1
962,33.53,1652745600.0,1
963,29.56,1652832000.0,1
964,35.16,1652918400.0,1
965,35.1,1653091200.0,1
966,33.38,1653609600.0,1
967,29.02,1654732800.0,1
968,33.98,1655942400.0,1
969,30.29,1660348800.0,1
970,25.35,1662163200.0,1
971,30.45,1663027200.0,1
972,32.6,1664668800.0,1
973,30.97,1665100800.0,1
974,35.63,1653177600.0,1
975,35.07,1653264000.0,1
976,32.12,1653350400.0,1
977,30.22,1653436800.0,1
978,31.4,1653523200.0,1
979,33.34,1653696000.0,1
980,30.31,1653782400.0,1
981,30.8,1653955200.0,1
982,29.56,1654041600.0,1
983,29.92,1654128000.0,1
984,30.96,1654214400.0,1
985,29.05,1654300800.0,1
986,30.62,1654387200.0,1
